Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,CR_PPA,CR_PPP
2011,1,성북구,11290,아파트,35484.66,75.35,475.3,143.78,441,19412.28,79.4,248.43,75.15,463,54.71,52.27,52.27
2011,1,성북구,11290,연립다세대,20571.98,57.6,365.91,110.69,116,8927.52,51.36,179.88,54.41,149,43.4,49.16,49.16
2011,1,성북구,11290,오피스텔,12864.29,30.48,431.72,130.59,7,9750.0,36.83,260.5,78.8,4,75.79,60.34,60.34
2011,1,송파구,11710,단독다가구,70240.0,229.77,290.25,87.8,5,7910.65,53.4,168.79,51.06,216,11.26,58.15,58.15
2011,1,송파구,11710,아파트,64401.9,77.09,857.45,259.38,487,30963.92,84.91,366.71,110.93,1385,48.08,42.77,42.77
2011,1,송파구,11710,연립다세대,25937.26,51.76,517.67,156.59,157,12605.68,49.83,263.88,79.82,484,48.6,50.97,50.97
2011,1,송파구,11710,오피스텔,19309.72,37.01,507.78,153.6,36,12937.5,39.41,336.11,101.67,8,67.0,66.19,66.19
2011,1,양천구,11470,단독다가구,60390.0,170.56,452.33,136.83,15,5733.79,58.58,114.3,34.58,145,9.49,25.27,25.27
2011,1,양천구,11470,아파트,52880.5,79.6,648.04,196.03,323,25139.56,79.4,312.01,94.38,669,47.54,48.15,48.15
2011,1,양천구,11470,연립다세대,18276.4,50.37,373.23,112.9,161,9485.78,51.81,186.81,56.51,211,51.9,50.05,50.05
2011,1,양천구,11470,오피스텔,25120.71,56.48,417.52,126.3,66,30227.94,86.14,343.16,103.81,68,120.33,82.19,82.19
2011,1,영등포구,11560,단독다가구,52346.5,158.81,487.44,147.45,20,6666.73,47.49,170.9,51.7,245,12.74,35.06,35.06
2011,1,영등포구,11560,아파트,47441.32,80.73,566.11,171.25,298,21966.96,80.21,277.38,83.91,457,46.3,49.0,49.0
2011,1,영등포구,11560,연립다세대,20330.18,53.13,407.91,123.39,28,9891.84,45.74,229.09,69.3,49,48.66,56.16,56.16
2011,1,영등포구,11560,오피스텔,20015.62,51.7,399.28,120.78,176,14515.09,58.58,258.68,78.25,106,72.52,64.79,64.79
2011,1,용산구,11170,단독다가구,80990.0,130.72,1037.28,313.78,20,7929.84,59.14,144.12,43.6,143,9.79,13.89,13.9
2011,1,용산구,11170,아파트,67534.74,82.8,817.6,247.32,95,31025.9,88.86,352.26,106.56,255,45.94,43.08,43.09
2011,1,용산구,11170,연립다세대,44182.69,61.68,774.85,234.39,39,11912.95,56.81,212.55,64.3,139,26.96,27.43,27.43
2011,1,용산구,11170,오피스텔,24638.46,36.43,670.34,202.78,39,22200.0,60.48,373.16,112.88,5,90.1,55.67,55.67
2011,1,은평구,11380,단독다가구,43495.43,140.13,412.61,124.81,63,6490.05,58.05,124.39,37.63,206,14.92,30.15,30.15
2011,1,은평구,11380,아파트,40082.46,85.94,462.78,139.99,260,17805.36,83.67,216.97,65.63,339,44.42,46.88,46.88
2011,1,은평구,11380,연립다세대,17332.98,52.17,340.88,103.12,341,8821.14,52.64,168.05,50.83,350,50.89,49.3,49.29
2011,1,은평구,11380,오피스텔,9423.08,23.9,425.37,128.67,13,6704.55,27.96,254.64,77.03,22,71.15,59.86,59.87
2011,1,종로구,11110,단독다가구,88383.33,104.14,927.5,280.57,27,8783.76,52.84,192.91,58.36,117,9.94,20.8,20.8
2011,1,종로구,11110,아파트,49776.27,83.06,585.14,177.01,51,25118.81,80.51,307.66,93.07,101,50.46,52.58,52.58
2011,1,종로구,11110,연립다세대,30010.77,71.04,411.81,124.57,65,13172.03,59.9,221.98,67.15,102,43.89,53.9,53.91
2011,1,종로구,11110,오피스텔,21488.69,39.52,531.47,160.77,61,9500.0,35.5,265.02,80.17,6,44.21,49.87,49.87
2011,1,중구,11140,단독다가구,57114.29,135.01,570.16,172.47,7,8235.59,56.14,193.52,58.54,59,14.42,33.94,33.94
2011,1,중구,11140,아파트,46186.62,76.5,604.17,182.76,68,26941.44,86.72,313.42,94.81,111,58.33,51.88,51.88
2011,1,중구,11140,연립다세대,24531.58,54.0,488.36,147.73,19,9597.56,43.98,228.88,69.24,41,39.12,46.87,46.87
2011,1,중구,11140,오피스텔,20570.29,43.32,480.81,145.45,35,9812.5,33.2,299.78,90.68,8,47.7,62.35,62.34
2011,1,중랑구,11260,단독다가구,52629.82,201.68,298.33,90.24,57,6434.0,55.72,129.66,39.22,300,12.23,43.46,43.46
2011,1,중랑구,11260,아파트,31468.02,72.62,431.69,130.59,188,16378.51,73.77,226.64,68.56,242,52.05,52.5,52.5
2011,1,중랑구,11260,연립다세대,19445.78,53.65,369.16,111.67,83,9887.91,52.86,189.97,57.47,91,50.85,51.46,51.46
2011,1,중랑구,11260,오피스텔,13740.0,38.13,358.03,108.3,15,8777.78,34.41,276.06,83.51,9,63.88,77.11,77.11
2011,2,강남구,11680,단독다가구,204200.0,390.33,504.46,152.6,6,11475.14,62.33,213.41,64.56,173,5.62,42.3,42.31
2011,2,강남구,11680,아파트,81231.61,78.97,1032.21,312.24,416,36376.41,83.69,421.65,127.55,1262,44.78,40.85,40.85
