학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
창동중학교,중학교,서울특별시 도봉구 방학로 32 창동중학교(방학동),37.66276724,127.0496351,도봉구
오남중학교,중학교,서울특별시 구로구 오리로9길 25 (오류동),37.48725635,126.8365851,구로구
공항중학교,중학교,서울특별시 강서구 방화대로 241 (공항동.공항중학교),37.56261595,126.8153399,강서구
노원중학교,중학교,서울특별시 노원구 동일로213길 26 (상계동.노원중학교),37.64905106,127.0598021,노원구
숭의여자중학교,중학교,서울특별시 동작구 여의대방로36길 79 . 숭의여자중학교 (대방동),37.50830168,126.9289229,동작구
대신중학교,중학교,서울특별시 종로구 사직로 9 (행촌동),37.57310947,126.9617529,종로구
한울중학교,중학교,서울특별시 금천구 독산로50길 60 한울중학교,37.46219599,126.9067262,금천구
영남중학교,중학교,서울특별시 영등포구 대림로31나길 17 . 영남중학교 (대림동),37.49753079,126.8959796,영등포구
영훈국제중학교,중학교,서울특별시 강북구 도봉로13가길 19 (미아동),37.61437718,127.0276039,강북구
둔촌중학교,중학교,서울특별시 강동구 진황도로61길 25-30 (둔촌동),37.53033765,127.1462064,강동구
신반포중학교,중학교,서울특별시 서초구 신반포로19길 26 . 신반포중학교 (반포동.신반포중학교),37.50570628,126.9961146,서초구
백운중학교,중학교,서울특별시 도봉구 도봉로129길 50 (쌍문동),37.65607544,127.0359041,도봉구
녹천중학교,중학교,서울특별시 노원구 월계로 376 (월계동. 녹천중학교),37.63126959,127.0622895,노원구
도봉중학교,중학교,서울특별시 도봉구 마들로 671 (도봉동.도봉중학교),37.6704519,127.045668,도봉구
아현중학교,중학교,서울특별시 마포구 마포대로 247 (아현동.아현중학교),37.55615513,126.9570872,마포구
수유중학교,중학교,서울특별시 강북구 인수봉로37길 40 (수유동.수유중학교),37.63096396,127.010591,강북구
노곡중학교,중학교,서울특별시 도봉구 노해로70길 95 (창동.노곡중학교),37.64821152,127.0533553,도봉구
신명중학교,중학교,서울특별시 강동구 명일로24길 25 (길동),37.54195865,127.1495209,강동구
성서중학교,중학교,서울특별시 마포구 성산로4길 42 (성산동),37.56300908,126.9084294,마포구
대림중학교,중학교,서울특별시 영등포구 시흥대로185길 6 (대림동.대림중학교),37.49214261,126.9075629,영등포구
공릉중학교,중학교,서울특별시 노원구 노원로1길 42 (공릉동.공릉중학교),37.62202718,127.0839604,노원구
양동중학교,중학교,서울특별시 양천구 목동중앙북로 49 (목동.양동중학교),37.54776895,126.8693529,양천구
