년,자치구별,건립가구 (가구)_완료,시행완료 재개발수 구분
2021,마포구,0,적거나 없음
2021,양천구,0,적거나 없음
2021,강서구,0,적거나 없음
2021,구로구,0,적거나 없음
2021,금천구,0,적거나 없음
2021,영등포구,0,적거나 없음
2021,동작구,0,적거나 없음
2021,관악구,0,적거나 없음
2021,서초구,0,적거나 없음
2021,강남구,0,적거나 없음
2021,송파구,0,적거나 없음
2021,강동구,0,적거나 없음
