Legion_Name,Name,Kind,Distance,Class,latitude,longitude,adress,New_adress
중랑구,용마도시자연공원(사가정공원),공원,,Park,37.5797622,127.095997,서울특별시 중랑구 면목7동 산50 ,
마포구,문화비축기지,공원,,Park,37.57171848,126.8932455,서울특별시 마포구 증산로 87,
노원구,경춘선숲길,공원,,Park,37.627077,127.076482,노원구 공릉2동 산 82-2,
강남구,율현공원,공원,,Park,37.472332,127.115594,서울특별시 강남구 율현동 밤고개로24길(율현동 56),
중구,서울로7017,공원,,Park,37.6199332,127.0801031,서울로7017,
동대문구,서울시립대학교,본교,,College,37.5834233,127.0600271,서울 동대문구 서울시립대로 163 (전농동 90번지) ,
서대문구,서울여자간호대학교,본교,,College,37.597475,126.947416,서울 서대문구 홍제3동 서울여자간호대학,
노원구,서울여자대학교,본교,,College,37.6281126,127.0904568,서울특별시 노원구 화랑로 621 서울여자대학교,
중랑구,서일대학교,본교,,College,37.5867117,127.1001536,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,
구로구,성공회대학교,본교,,College,37.4877355,126.825157,서울 구로구 항동 성공회대학교,
종로구,성균관대학교,본교,,College,37.588227,126.993606,서울 종로구 명륜동3가 성균관대학교,
성북구,성신여자대학교,본교,,College,37.5916992,127.0219923,서울 성북구 동선동3가 성신여자대학교,
광진구,세종대학교,본교,,College,37.5518018,127.0736345,서울 광진구 군자동 세종대학교,
용산구,숙명여자대학교,본교,,College,37.546475,126.9646916,서울 용산구 청파로47길 100 숙명여자대학교,
동작구,숭실대학교,본교,,College,37.4963462,126.9568865,서울 동작구 상도동 511 숭실대학교,
중구,숭의여자대학교,본교,,College,37.5569016,126.9874009,서울특별시 중구 소파로2길 10(예장동),
서대문구,연세대학교,본교,,College,37.5650797,126.9399549,서울 서대문구 신촌동 연세대학교,
서대문구,이화여자대학교,본교,,College,37.5625607,126.9474535,서울 서대문구 대현동 11-1 이화여자대학교,
노원구,인덕대학교,본교,,College,37.6310852,127.0550567,서울 노원구 초안산로 12,
