위도,경도,Shortest_Distance_to_Subway,Shortest_Distance_to_University,Shortest_Distance_to_School
37.6470009,127.0661,869.2077298,250.9608397,141.6942349
37.485916,127.0389343,505.770726,2058.012675,181.6850749
37.5185416,126.8624047,687.2214276,2116.482313,189.5631007
37.4888759,127.0716679,214.048651,4751.978581,227.2367592
37.5579013,127.0271186,133.3106522,1787.299466,194.3608891
37.5126942,126.930775,247.3011173,2478.811557,445.5570542
37.6103707,127.024274,1244.707506,1085.250878,222.7195542
37.6523839,127.0606269,283.5938703,517.8866226,290.5375601
37.5809769,127.0159279,533.8582256,515.0663027,181.4765613
37.478962,126.9701483,1112.232955,1338.776499,208.8323612
37.626007,127.0806262,964.9965292,687.7481663,531.0973675
37.5636761,126.8157946,411.9576778,2857.650406,124.5099993
37.5133602,127.0078706,261.7141892,1494.803044,285.3656905
37.6676716,127.0622596,1242.05272,2117.776342,117.1982662
37.5107821,126.8401934,1776.319395,1860.329218,361.2020797
37.5495115,127.0471105,640.8999459,915.4633534,623.3573603
37.5986511,127.0150691,331.1190689,984.6874976,165.0366841
37.5592001,127.019505,82.45851498,1983.502186,119.1269773
37.5505604,127.0207463,275.8699855,2270.881991,238.0357895
37.599976,127.1084594,740.4806432,1646.487461,426.0950163
37.5377841,126.9517874,264.6314695,672.5690552,191.4160135
37.5110415,126.8829523,852.4548575,1799.395157,137.4677944
37.6245902,127.0654159,307.6208255,742.5298473,484.1272077
37.5717046,126.9057416,683.1414018,1800.982253,120.9331411
37.504699,126.8591161,1089.385349,939.9884982,262.2387654
37.4610116,126.8930696,462.8219084,4870.259154,430.4881823
37.564973,126.8424306,439.1941374,1623.339158,198.0113899
37.572876,127.0806338,357.3374053,2050.794759,304.0210052
37.5289279,127.0241089,880.9432117,1468.64315,442.43001
37.6729841,127.0592029,1282.942657,2737.227865,72.75102208
37.5689159,126.842201,126.887888,2062.198219,256.2727963
37.4992569,127.1369054,589.8294409,2324.453556,149.5082389
37.5138585,127.051486,361.3750581,1837.972684,400.0328206
37.49045,127.0399974,859.163902,2096.776805,458.2501376
37.4873109,126.9608651,750.2735224,672.5561512,346.93166
37.5543776,126.8302062,1074.264393,1256.927449,276.8770925
37.498056,126.9582766,887.1538245,226.241766,517.7630555
37.5059443,127.1192556,486.042155,1839.763362,296.5064398
37.5358957,126.9669677,510.4662793,1193.359004,189.8800514
37.4987773,127.0498786,156.4756663,2614.39587,244.7319074
37.4896386,126.9759403,606.8886043,787.5828932,172.6777607
37.5068246,126.9990742,235.2007127,926.8674711,289.1679284
37.5120419,126.9290823,329.835239,2594.21879,282.9829372
37.6722745,127.0504097,584.2950686,2890.227623,229.0354332
37.6537972,127.0647488,190.4723197,570.0583836,242.0672952
37.5719882,126.9126582,410.0159623,1299.700742,366.7937595
37.486657,127.122462,119.581265,3742.329638,460.0335346
37.4901446,126.9839283,465.3769627,1483.982605,148.7172924
37.5007525,127.0621609,938.3212794,3283.111057,377.2960731
37.5512515,126.8745431,468.926251,1770.490999,235.0335402
37.5307601,127.1259881,263.0854255,1314.038854,277.68627
37.531956,126.903065,242.4566734,2682.809055,318.9983033
37.5312593,127.026959,797.327498,1635.460502,342.8126783
